city,subregion,lane-miles,population,lat,lon,lane-feet_per_pop,region
New York City,NY,13.2,8930002,40.7127281,-74.0060152,0.007795748192534519,us
Los Angeles,CA,50.3,3919973,34.0536909,-118.242766,0.06774252572362728,us
Chicago,IL,8.9,2756546,41.8755616,-87.6244212,0.017057402776806768,us
Houston,TX,60.2,2345606,29.7589382,-95.3676974,0.13545462812901923,us
Phoenix,AZ,9.9,1640641,33.4484367,-112.074141,0.03196489942745059,us
Philadelphia,PA,21.3,1619355,39.9527237,-75.1635262,0.06947290371332969,us
San Antonio,TX,45.9,1456069,29.4246002,-98.4951405,0.16646384031448694,us
San Diego,CA,48.1,1402838,32.7174202,-117.1627728,0.180983220115605,us
Dallas,TX,87.0,1325691,32.7762719,-96.7968559,0.3464709315360295,us
San Jose,CA,45.9,1026700,37.3361663,-121.890591,0.23594123090936492,us
Austin,TX,14.7,996147,30.2711286,-97.7436995,0.07784737714861951,us
Jacksonville,FL,17.8,975177,30.3321838,-81.655651,0.09622906986212673,us
Fort Worth,TX,58.8,954457,32.753177,-97.3327459,0.32513169814377146,us
Columbus,OH,46.2,929492,39.9622601,-83.0007065,0.2621648150202988,us
Charlotte,NC,52.8,903211,35.2272086,-80.8430827,0.3089101839077929,us
Indianapolis,IN,17.2,901082,39.7683331,-86.1583502,0.10095356436740463,us
San Francisco,CA,18.3,887711,37.7790262,-122.419906,0.10909783512124065,us
Seattle,WA,41.2,762687,47.6038321,-122.330062,0.28515009964225235,us
Denver,CO,0,738594,39.7392364,-104.984862,0.0,us
Washington,DC,17.8,707109,38.8950368,-77.0365427,0.13326439962038011,us
Nashville,TN,35.6,707091,36.1622767,-86.7742984,0.2661023106791915,us
Oklahoma City,OK,13.6,701266,35.4729886,-97.5170536,0.10275800482762203,us
Boston,MA,32.0,687257,42.3554334,-71.060511,0.24618776449009436,us
El Paso,TX,45.3,684753,31.7865623,-106.441207,0.3491053384851462,us
Portland,OR,45.1,666249,45.5202471,-122.674194,0.35772775563566206,us
Las Vegas,NV,67.5,653533,36.1672559,-115.148516,0.5452056586780963,us
Memphis,TN,0,630348,35.1335022,-89.9668758,0.0,us
Detroit,MI,38.6,624177,42.3315509,-83.0466403,0.3262461494923155,us
Baltimore,MD,17.3,578658,39.2908816,-76.610759,0.15779974181936834,us
Milwaukee,WI,48.7,573700,43.0349931,-87.922497,0.4479040126615252,us
Albuquerque,NM,10.8,568301,35.0841034,-106.650985,0.10058842198149238,us
Fresno,CA,35.3,551595,36.7394421,-119.7848307,0.3376253096049046,us
Tucson,AZ,21.5,547131,32.2228765,-110.9748477,0.2071694097438764,us
Sacramento,CA,20.8,536635,38.5810606,-121.493895,0.20503619373874835,us
Kansas City,MO,60.5,517750,39.100105,-94.5781416,0.6170624620231353,us
Mesa,AZ,0,517302,33.4151117,-111.8314792,0.0,us
Atlanta,GA,66.5,514457,33.7489924,-84.3902644,0.6823967404996716,us
Omaha,NE,31.9,501469,41.2587459,-95.9383758,0.33604972483050916,us
Colorado Springs,CO,22.3,491467,38.8339578,-104.825348,0.24010746889440504,us
Raleigh,NC,0,480419,35.7803977,-78.6390989,0.0,us
Long Beach,CA,17.9,467638,33.7690164,-118.191604,0.20228827175867384,us
Virginia Beach,VA,3.4,463766,36.8529841,-75.9774183,0.03827560514247146,us
Miami,FL,31.9,450797,25.7741728,-80.19362,0.3741855158191506,us
Oakland,CA,39.6,450630,37.8044557,-122.271356,0.46436597998405355,us
Minneapolis,MN,50.2,439430,44.9772995,-93.2654692,0.6033752323152859,us
Tulsa,OK,45.1,417298,36.1563122,-95.9927436,0.5704605422467652,us
Bakersfield,CA,6.2,414649,35.3738712,-119.0194639,0.07943339941648643,us
Wichita,KS,7.2,400564,37.6922361,-97.3375448,0.09448432953382777,us
Arlington,TX,0,400032,32.7355816,-97.1071186,0.0,us
Aurora,CO,0,398497,41.7571701,-88.3147539,0.0,us
Tampa,FL,36.6,394809,27.9477595,-82.458444,0.4890837399885167,us
